# 1D hohlraum problem 2021/03/19 10:14:30
x 1.000000e-01
t 3.000000e-01
N 128
# theta phi I
7.084029e-01 2.124976e+00 1.000000e+00 
2.277280e+00 1.483721e+00 0.000000e+00 
1.342298e+00 2.062452e+00 0.000000e+00 
2.656241e+00 3.511351e+00 0.000000e+00 
2.378485e+00 8.902860e-02 0.000000e+00 
9.020392e-01 4.758832e+00 1.000000e+00 
2.443471e+00 3.233498e-01 0.000000e+00 
1.953395e+00 1.190212e+00 0.000000e+00 
9.892680e-01 3.711712e+00 1.000000e+00 
2.227957e+00 1.297595e+00 0.000000e+00 
2.069721e+00 1.399679e+00 0.000000e+00 
7.214707e-01 3.248137e-01 1.000000e+00 
2.481709e+00 5.270192e+00 0.000000e+00 
1.459988e+00 5.409299e+00 0.000000e+00 
1.143990e+00 2.433815e+00 1.000000e+00 
1.842062e+00 1.969005e-01 0.000000e+00 
1.728628e+00 3.452697e+00 0.000000e+00 
1.656786e+00 1.242779e+00 0.000000e+00 
2.022156e+00 4.691647e+00 0.000000e+00 
1.868068e+00 3.732347e+00 0.000000e+00 
1.642119e+00 5.465639e+00 0.000000e+00 
1.087563e+00 2.969187e+00 1.000000e+00 
1.186344e+00 4.708293e+00 1.000000e+00 
1.107071e+00 3.525207e-01 1.000000e+00 
2.365555e+00 1.445010e+00 0.000000e+00 
1.619914e+00 6.167431e+00 0.000000e+00 
1.636260e+00 3.573464e+00 0.000000e+00 
1.619048e+00 6.036575e+00 0.000000e+00 
1.790066e+00 4.477557e-01 0.000000e+00 
5.560869e-01 3.031475e+00 1.000000e+00 
7.950190e-01 2.189596e+00 1.000000e+00 
4.190777e-01 2.160662e+00 1.000000e+00 
3.395542e-01 1.064497e+00 1.000000e+00 
1.519849e+00 1.606430e+00 0.000000e+00 
2.915459e+00 6.067883e-01 0.000000e+00 
1.241628e+00 5.059939e+00 0.000000e+00 
2.917818e+00 1.737041e+00 0.000000e+00 
1.834678e+00 2.101062e+00 0.000000e+00 
3.749040e-01 4.076319e+00 1.000000e+00 
2.516921e+00 3.789423e+00 0.000000e+00 
2.370372e+00 6.635552e-01 0.000000e+00 
1.745039e+00 3.062978e+00 0.000000e+00 
2.720835e+00 3.649712e+00 0.000000e+00 
1.410151e+00 2.089489e-02 0.000000e+00 
1.274053e+00 2.216329e+00 0.000000e+00 
1.138942e+00 3.744192e+00 1.000000e+00 
7.681412e-01 3.335535e-01 1.000000e+00 
2.611398e+00 1.821254e+00 0.000000e+00 
8.054355e-01 3.934766e+00 1.000000e+00 
2.705751e+00 1.800588e+00 0.000000e+00 
2.957779e-01 2.505539e+00 1.000000e+00 
1.125015e+00 1.252998e+00 1.000000e+00 
7.180316e-01 3.440849e+00 1.000000e+00 
1.798413e+00 4.145661e+00 0.000000e+00 
